strain,description
1097458,Aspergillus pseudoustus CBS 123904 Annotated Minimal Draft
1188113,Aspergillus pseudoviridinutans IBT 34175 Annotated Minimal Draft
1188009,Aspergillus pulvericola CBS 137327 Annotated Minimal Draft
1188049,Aspergillus puulaauensis IBT 32284 Annotated Minimal Draft
1052092,Aspergillus quadrilineatus CBS 853.96 Annotated Minimal Draft
1097494,Aspergillus quadrilineatus CBS 937.73 Annotated Minimal Draft
1097382,Aspergillus rambellii CBS 100887 Annotated Minimal Draft
1052146,Aspergillus recurvatus CBS 496.65 Annotated Standard Draft
1051990,Aspergillus restrictus CBS 118.33 Annotated Standard Draft
1052218,Aspergillus rhizopodus CBS 450.75 Annotated Standard Draft
1051924,Aspergillus robustus CBS 428.77 Annotated Standard Draft
1052404,Aspergillus roseoglobulosus CBS 112800 Annotated Standard Draft
1051930,Aspergillus sclerotiorum CBS 549.65 Annotated Standard Draft
1187921,Aspergillus sepultus CBS 257.85 Annotated Minimal Draft
1052320,Aspergillus sergii CBS 130017 Annotated Standard Draft
1188013,Aspergillus sesamicola CBS 137324 Annotated Minimal Draft
1188117,Aspergillus shendaweii IBT 34197 Annotated Minimal Draft
1097646,Aspergillus siamensis CBS 137452 Annotated Minimal Draft
1097506,Aspergillus silvaticus CBS 128.55 Annotated Minimal Draft
1052152,Aspergillus similis CBS 293.93 Annotated Standard Draft
1097586,Aspergillus spathulatus CBS 408.89 Annotated Minimal Draft
1052158,Aspergillus spectabilis CBS 429.77A Annotated Standard Draft
1097590,Aspergillus spinosus CBS 483.65 Annotated Minimal Draft
1188153,Aspergillus spiritus DTO 241-G7 Annotated Minimal Draft
1052170,Aspergillus stella-maris CBS 113639 Annotated Standard Draft
1052002,Aspergillus stellifer CBS 598.65 Annotated Minimal Draft
1052164,Aspergillus stercoraria CBS 428.93 Annotated Standard Draft
1052410,Aspergillus subauricomus CBS 638.78 Annotated Standard Draft
1052182,Aspergillus sublatus IBT 19356 Annotated Minimal Draft
1188017,Aspergillus subramanianii CBS 138230 Annotated Minimal Draft
1188053,Aspergillus subversicolor IBT 32280 Annotated Minimal Draft
1188097,Aspergillus sulphureoviridis CBS 140626 Annotated Minimal Draft
1051906,Aspergillus taichungensis IBT 19404 Annotated Standard Draft
1052326,Aspergillus tamarii CBS 117626 Annotated Standard Draft
1097618,Aspergillus tanneri DTO 303-I8 Annotated Minimal Draft
1187985,Aspergillus templicola CBS 138181 Annotated Minimal Draft
1188057,Aspergillus tennesseensis IBT 32283 Annotated Minimal Draft
1052140,Aspergillus tetrazonus CBS 591.65A Annotated Standard Draft
1051996,Aspergillus thermomutatus CBS 207.92 Annotated Standard Draft
1187869,Aspergillus thesauricus IBT 34227 Annotated Minimal Draft
1187901,Aspergillus transcarpathicus CBS 423.68 Annotated Minimal Draft
1052332,Aspergillus transmontanensis CBS 130015 Annotated Standard Draft
1052428,Aspergillus triticus CBS 266.81 Annotated Standard Draft
