genome_id,source,genus,species,strain,description
1097570,custom,Aspergillus,multiplicatus,CBS 646958,Aspergillus multiplicatus CBS 646958 Annotated Minimal Draft
1052368,custom,Aspergillus,muricatus,CBS 112808,Aspergillus muricatus CBS 112808 Annotated Standard Draft
1052374,custom,Aspergillus,nakazawae,CBS 640.78,Aspergillus nakazawae CBS 640.78 Annotated Standard Draft
1052116,custom,Aspergillus,navahoensis,CBS 351.81,Aspergillus navahoensis CBS 351.81 Annotated Standard Draft
1052380,custom,Aspergillus,neoauricomus,CBS 112787,Aspergillus neoauricomus CBS 112787 Annotated Standard Draft
1188165,custom,Aspergillus,neocaesiellus,DTO 356-D2,Aspergillus neocaesiellus DTO 356-D2 Annotated Minimal Draft
1188169,custom,Aspergillus,neoconicus,CBS 233.90,Aspergillus neoconicus CBS 233.90 Annotated Minimal Draft
1052062,custom,Aspergillus,neoechinulatus,CBS 120.55,Aspergillus neoechinulatus CBS 120.55 Annotated Standard Draft
1097374,custom,Aspergillus,neoflavipes,CBS 260.73,Aspergillus neoflavipes CBS 260.73 Annotated Minimal Draft
1097370,custom,Aspergillus,neoindicus,CBS 444.75,Aspergillus neoindicus CBS 444.75 Annotated Minimal Draft
1187917,custom,Aspergillus,neostromatioides,CBS 265.73,Aspergillus neostromatioides CBS 265.73 Annotated Minimal Draft
1187885,custom,Aspergillus,neowarcupii,IBT 29024,Aspergillus neowarcupii IBT 29024 Annotated Minimal Draft
1097574,custom,Aspergillus,nishimurae,IFM 54133,Aspergillus nishimurae IFM 54133 Annotated Minimal Draft
1187857,custom,Aspergillus,niveus,CBS 471.91,Aspergillus niveus CBS 471.91 Annotated Minimal Draft
1052278,custom,Aspergillus,nomius,IBT 12657,Aspergillus nomius IBT 12657 Annotated Standard Draft
1052284,custom,Aspergillus,novoparasiticus,CBS 126849,Aspergillus novoparasiticus CBS 126849 Annotated Standard Draft
1187897,custom,Aspergillus,nutans,CBS 121.56,Aspergillus nutans CBS 121.56 Annotated Minimal Draft
1188109,custom,Aspergillus,oerlinghausenensis,CBS 139183,Aspergillus oerlinghausenensis CBS 139183 Annotated Minimal Draft
1052122,custom,Aspergillus,olivicola,CBS 597.65,Aspergillus olivicola CBS 597.65 Annotated Standard Draft
1052386,custom,Aspergillus,ostianus,CBS 103.07,Aspergillus ostianus CBS 103.07 Annotated Standard Draft
1188089,custom,Aspergillus,pachycristatus,IBT 23550,Aspergillus pachycristatus IBT 23550 Annotated Minimal Draft
1097578,custom,Aspergillus,papuensis,CBS 841.96,Aspergillus papuensis CBS 841.96 Annotated Minimal Draft
1188005,custom,Aspergillus,parafelis,IBT 34187,Aspergillus parafelis IBT 34187 Annotated Minimal Draft
1052290,custom,Aspergillus,parasiticus,CBS 117618,Aspergillus parasiticus CBS 117618 Annotated Standard Draft
1052296,custom,Aspergillus,parvisclerotigenus,CBS 121.62,Aspergillus parvisclerotigenus CBS 121.62 Annotated Standard Draft
1051960,custom,Aspergillus,parvulus,CBS 136.61,Aspergillus parvulus CBS 136.61 Annotated Standard Draft
1051984,custom,Aspergillus,penicilloides,CBS 540.65,Aspergillus penicilloides CBS 540.65 Annotated Standard Draft
1097650,custom,Aspergillus,pernambucoensis,CBS 137449,Aspergillus pernambucoensis CBS 137449 Annotated Minimal Draft
1052392,custom,Aspergillus,persii,CBS 112795,Aspergillus persii CBS 112795 Annotated Standard Draft
1188185,custom,Aspergillus,phaeropenciillioides,DTO 356-D6,Aspergillus phaeropenciillioides DTO 356-D6 Annotated Minimal Draft
1097582,custom,Aspergillus,primulinus,CBS 253.94,Aspergillus primulinus CBS 253.94 Annotated Minimal Draft
1052302,custom,Aspergillus,pseudocaelatus,CBS 117616,Aspergillus pseudocaelatus CBS 117616 Annotated Standard Draft
1097454,custom,Aspergillus,pseudodeflectus,CBS 756.74,Aspergillus pseudodeflectus CBS 756.74 Annotated Minimal Draft
1187841,custom,Aspergillus,pseudofelis,IBT 34107,Aspergillus pseudofelis IBT 34107 Annotated Minimal Draft
1052314,custom,Aspergillus,pseudotamarii,CBS 117625,Aspergillus pseudotamarii CBS 117625 Annotated Standard Draft
1097378,custom,Aspergillus,pseudoterreus,DTO 47-E6,Aspergillus pseudoterreus DTO 47-E6 Annotated Minimal Draft
1097458,custom,Aspergillus,pseudoustus,CBS 123904,Aspergillus pseudoustus CBS 123904 Annotated Minimal Draft
1188113,custom,Aspergillus,pseudoviridinutans,IBT 34175,Aspergillus pseudoviridinutans IBT 34175 Annotated Minimal Draft
1188009,custom,Aspergillus,pulvericola,CBS 137327,Aspergillus pulvericola CBS 137327 Annotated Minimal Draft
1188049,custom,Aspergillus,puulaauensis,IBT 32284,Aspergillus puulaauensis IBT 32284 Annotated Minimal Draft
1052092,custom,Aspergillus,quadrilineatus,CBS 853.96,Aspergillus quadrilineatus CBS 853.96 Annotated Minimal Draft
1097494,custom,Aspergillus,quadrilineatus,CBS 937.73,Aspergillus quadrilineatus CBS 937.73 Annotated Minimal Draft
1097382,custom,Aspergillus,rambellii,CBS 100887,Aspergillus rambellii CBS 100887 Annotated Minimal Draft
1052146,custom,Aspergillus,recurvatus,CBS 496.65,Aspergillus recurvatus CBS 496.65 Annotated Standard Draft
1051990,custom,Aspergillus,restrictus,CBS 118.33,Aspergillus restrictus CBS 118.33 Annotated Standard Draft
1052218,custom,Aspergillus,rhizopodus,CBS 450.75,Aspergillus rhizopodus CBS 450.75 Annotated Standard Draft
1051924,custom,Aspergillus,robustus,CBS 428.77,Aspergillus robustus CBS 428.77 Annotated Standard Draft
1052404,custom,Aspergillus,roseoglobulosus,CBS 112800,Aspergillus roseoglobulosus CBS 112800 Annotated Standard Draft
1051930,custom,Aspergillus,sclerotiorum,CBS 549.65,Aspergillus sclerotiorum CBS 549.65 Annotated Standard Draft
1187921,custom,Aspergillus,sepultus,CBS 257.85,Aspergillus sepultus CBS 257.85 Annotated Minimal Draft
1052320,custom,Aspergillus,sergii,CBS 130017,Aspergillus sergii CBS 130017 Annotated Standard Draft
1188013,custom,Aspergillus,sesamicola,CBS 137324,Aspergillus sesamicola CBS 137324 Annotated Minimal Draft
1188117,custom,Aspergillus,shendaweii,IBT 34197,Aspergillus shendaweii IBT 34197 Annotated Minimal Draft
1097646,custom,Aspergillus,siamensis,CBS 137452,Aspergillus siamensis CBS 137452 Annotated Minimal Draft
1097506,custom,Aspergillus,silvaticus,CBS 128.55,Aspergillus silvaticus CBS 128.55 Annotated Minimal Draft
1052152,custom,Aspergillus,similis,CBS 293.93,Aspergillus similis CBS 293.93 Annotated Standard Draft
1097586,custom,Aspergillus,spathulatus,CBS 408.89,Aspergillus spathulatus CBS 408.89 Annotated Minimal Draft
1052158,custom,Aspergillus,spectabilis,CBS 429.77A,Aspergillus spectabilis CBS 429.77A Annotated Standard Draft
1097590,custom,Aspergillus,spinosus,CBS 483.65,Aspergillus spinosus CBS 483.65 Annotated Minimal Draft
1188153,custom,Aspergillus,spiritus,DTO 241-G7,Aspergillus spiritus DTO 241-G7 Annotated Minimal Draft
1052170,custom,Aspergillus,stella-maris,CBS 113639,Aspergillus stella-maris CBS 113639 Annotated Standard Draft
1052002,custom,Aspergillus,stellifer,CBS 598.65,Aspergillus stellifer CBS 598.65 Annotated Minimal Draft
1052164,custom,Aspergillus,stercoraria,CBS 428.93,Aspergillus stercoraria CBS 428.93 Annotated Standard Draft
1052410,custom,Aspergillus,subauricomus,CBS 638.78,Aspergillus subauricomus CBS 638.78 Annotated Standard Draft
1052182,custom,Aspergillus,sublatus,IBT 19356,Aspergillus sublatus IBT 19356 Annotated Minimal Draft
1188017,custom,Aspergillus,subramanianii,CBS 138230,Aspergillus subramanianii CBS 138230 Annotated Minimal Draft
1188053,custom,Aspergillus,subversicolor,IBT 32280,Aspergillus subversicolor IBT 32280 Annotated Minimal Draft
1188097,custom,Aspergillus,sulphureoviridis,CBS 140626,Aspergillus sulphureoviridis CBS 140626 Annotated Minimal Draft
1051906,custom,Aspergillus,taichungensis,IBT 19404,Aspergillus taichungensis IBT 19404 Annotated Standard Draft
1052326,custom,Aspergillus,tamarii,CBS 117626,Aspergillus tamarii CBS 117626 Annotated Standard Draft
1097618,custom,Aspergillus,tanneri,DTO 303-I8,Aspergillus tanneri DTO 303-I8 Annotated Minimal Draft
1187985,custom,Aspergillus,templicola,CBS 138181,Aspergillus templicola CBS 138181 Annotated Minimal Draft
1188057,custom,Aspergillus,tennesseensis,IBT 32283,Aspergillus tennesseensis IBT 32283 Annotated Minimal Draft
1052140,custom,Aspergillus,tetrazonus,CBS 591.65A,Aspergillus tetrazonus CBS 591.65A Annotated Standard Draft
1051996,custom,Aspergillus,thermomutatus,CBS 207.92,Aspergillus thermomutatus CBS 207.92 Annotated Standard Draft
1187869,custom,Aspergillus,thesauricus,IBT 34227,Aspergillus thesauricus IBT 34227 Annotated Minimal Draft
1187901,custom,Aspergillus,transcarpathicus,CBS 423.68,Aspergillus transcarpathicus CBS 423.68 Annotated Minimal Draft
1052332,custom,Aspergillus,transmontanensis,CBS 130015,Aspergillus transmontanensis CBS 130015 Annotated Standard Draft
1052428,custom,Aspergillus,triticus,CBS 266.81,Aspergillus triticus CBS 266.81 Annotated Standard Draft
1188121,custom,Aspergillus,tsurutae,IBT 34206,Aspergillus tsurutae IBT 34206 Annotated Minimal Draft
1097598,custom,Aspergillus,turcosus,IBT 27921,Aspergillus turcosus IBT 27921 Annotated Minimal Draft
1187877,custom,Aspergillus,udagawae,CBS 114217,Aspergillus udagawae CBS 114217 Annotated Minimal Draft
1188137,custom,Aspergillus,umbrosus,CBS 117.46,Aspergillus umbrosus CBS 117.46 Annotated Minimal Draft
1052188,custom,Aspergillus,undulatus,CBS 261.88,Aspergillus undulatus CBS 261.88 Annotated Standard Draft
1097510,custom,Aspergillus,varians,CBS 505.65,Aspergillus varians CBS 505.65 Annotated Minimal Draft
1187881,custom,Aspergillus,viridinutans,CBS 127.56,Aspergillus viridinutans CBS 127.56 Annotated Minimal Draft
1188125,custom,Aspergillus,waksmanii,IBT 31900,Aspergillus waksmanii IBT 31900 Annotated Minimal Draft
1060057,custom,Aspergillus,welwitchiae,CBS 139.54b,Aspergillus welwitchiae CBS 139.54b Annotated Standard Draft
1188021,custom,Aspergillus,westerdijkiae,CBS 112803,Aspergillus westerdijkiae CBS 112803 Annotated Minimal Draft
1097346,custom,Aspergillus,westlandensis,CBS 123905,Aspergillus westlandensis CBS 123905 Annotated Minimal Draft
1187961,custom,Aspergillus,xerophilus,CBS 938.73,Aspergillus xerophilus CBS 938.73 Annotated Minimal Draft
1188177,custom,Penicillium,antarcticum,DTO 356-E5,Penicillium antarcticum DTO 356-E5 Annotated Minimal Draft
1187965,custom,Penicillium,malodoratum,CBS 490.65,Penicillium malodoratum CBS 490.65 Annotated Minimal Draft
1097418,custom,Penicillium,solitum,IBT 30036,Penicillium solitum IBT 30036 Annotated Minimal Draft
1187937,custom,Penicillium,sp.,DTU1,Penicillium sp. DTU1 Annotated Minimal Draft
